State,District,Year,Season,Crop,Area,Yield,Rainfall
Andhra Pradesh,EAST GODAVARI,2009,Rabi       ,Rice,104423,456537,
Andhra Pradesh,EAST GODAVARI,2010,Kharif     ,Rice,237640,457704,
Andhra Pradesh,EAST GODAVARI,2010,Rabi       ,Rice,172888,849917,
Andhra Pradesh,EAST GODAVARI,2011,Kharif     ,Rice,197445,589741,
Andhra Pradesh,EAST GODAVARI,2011,Rabi       ,Rice,139649,587084,
Andhra Pradesh,EAST GODAVARI,2012,Kharif     ,Rice,232300,355651,
Andhra Pradesh,EAST GODAVARI,2012,Rabi       ,Rice,168756,746239,
Andhra Pradesh,EAST GODAVARI,2013,Kharif     ,Rice,235159,434104,
Andhra Pradesh,EAST GODAVARI,2013,Rabi       ,Rice,169523,777602,
Andhra Pradesh,EAST GODAVARI,2014,Kharif     ,Rice,226072,681833,
Andhra Pradesh,EAST GODAVARI,2014,Rabi       ,Rice,168045,881396,
Andhra Pradesh,EAST GODAVARI,2014,Whole Year ,Rice,394117,1563229,
Andhra Pradesh,GUNTUR,1997,Kharif     ,Rice,295000,845300,
Andhra Pradesh,GUNTUR,1997,Rabi       ,Rice,14500,51800,
Andhra Pradesh,GUNTUR,1998,Kharif     ,Rice,298400,921400,
Andhra Pradesh,GUNTUR,1998,Rabi       ,Rice,29100,99900,
Andhra Pradesh,GUNTUR,1999,Kharif     ,Rice,302886,969414,
Andhra Pradesh,GUNTUR,1999,Rabi       ,Rice,14822,53167,
Andhra Pradesh,GUNTUR,2000,Kharif     ,Rice,292899,987363,
Andhra Pradesh,GUNTUR,2000,Rabi       ,Rice,12692,49600,
Andhra Pradesh,GUNTUR,2001,Kharif     ,Rice,272468,935110,
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rice,44917,181060,
Andhra Pradesh,GUNTUR,2002,Kharif     ,Rice,202953,646811,
Andhra Pradesh,GUNTUR,2002,Rabi       ,Rice,2716,7385,
Andhra Pradesh,GUNTUR,2003,Kharif     ,Rice,170487,482990,
Andhra Pradesh,GUNTUR,2003,Rabi       ,Rice,5772,16837,
Andhra Pradesh,GUNTUR,2004,Kharif     ,Rice,240404,833961,
Andhra Pradesh,GUNTUR,2004,Rabi       ,Rice,21247,70922,
Andhra Pradesh,GUNTUR,2005,Kharif     ,Rice,288879,892636,
Andhra Pradesh,GUNTUR,2005,Rabi       ,Rice,31434,111559,
Andhra Pradesh,GUNTUR,2006,Kharif     ,Rice,288638,783941,
Andhra Pradesh,GUNTUR,2006,Rabi       ,Rice,28933,100947,
Andhra Pradesh,GUNTUR,2007,Kharif     ,Rice,283000,976000,
Andhra Pradesh,GUNTUR,2007,Rabi       ,Rice,24000,85000,
Andhra Pradesh,GUNTUR,2008,Kharif     ,Rice,281491,959321,
Andhra Pradesh,GUNTUR,2008,Rabi       ,Rice,51358,187662,
Andhra Pradesh,GUNTUR,2009,Kharif     ,Rice,190526,683226,
Andhra Pradesh,GUNTUR,2009,Rabi       ,Rice,112342,383423,
Andhra Pradesh,GUNTUR,2010,Kharif     ,Rice,271072,649760,
Andhra Pradesh,GUNTUR,2010,Rabi       ,Rice,58393,201806,
Andhra Pradesh,GUNTUR,2011,Kharif     ,Rice,281790,1080921,
Andhra Pradesh,GUNTUR,2011,Rabi       ,Rice,11012,39060,
Andhra Pradesh,GUNTUR,2012,Kharif     ,Rice,174699,607778,
Andhra Pradesh,GUNTUR,2012,Rabi       ,Rice,8362,29903,
Andhra Pradesh,GUNTUR,2013,Kharif     ,Rice,280060,912716,
Andhra Pradesh,GUNTUR,2013,Rabi       ,Rice,48107,183288,
Andhra Pradesh,GUNTUR,2014,Kharif     ,Rice,255607,1000190,
Andhra Pradesh,GUNTUR,2014,Rabi       ,Rice,29695,111742,
Andhra Pradesh,GUNTUR,2014,Whole Year ,Rice,285302,1111932,
Andhra Pradesh,KADAPA,1997,Kharif     ,Rice,47700,77500,
Andhra Pradesh,KADAPA,1997,Rabi       ,Rice,13000,27700,
Andhra Pradesh,KADAPA,1998,Kharif     ,Rice,59200,169800,
Andhra Pradesh,KADAPA,1998,Rabi       ,Rice,17000,41600,
Andhra Pradesh,KADAPA,1999,Kharif     ,Rice,54783,134484,
Andhra Pradesh,KADAPA,1999,Rabi       ,Rice,6828,12921,
Andhra Pradesh,KADAPA,2000,Kharif     ,Rice,60412,170120,
Andhra Pradesh,KADAPA,2000,Rabi       ,Rice,7426,6134,
Andhra Pradesh,KADAPA,2001,Kharif     ,Rice,38218,96883,
Andhra Pradesh,KADAPA,2001,Rabi       ,Rice,37550,98231,
Andhra Pradesh,KADAPA,2002,Kharif     ,Rice,27457,56424,
Andhra Pradesh,KADAPA,2002,Rabi       ,Rice,9203,16446,
Andhra Pradesh,KADAPA,2003,Kharif     ,Rice,23356,60025,
Andhra Pradesh,KADAPA,2003,Rabi       ,Rice,10767,24032,
Andhra Pradesh,KADAPA,2004,Kharif     ,Rice,46932,149619,
Andhra Pradesh,KADAPA,2004,Rabi       ,Rice,5689,11424,
Andhra Pradesh,KADAPA,2005,Kharif     ,Rice,45556,85828,
Andhra Pradesh,KADAPA,2005,Rabi       ,Rice,21197,55791,
Andhra Pradesh,KADAPA,2006,Kharif     ,Rice,41908,114493,
Andhra Pradesh,KADAPA,2006,Rabi       ,Rice,4997,10963,
Andhra Pradesh,KADAPA,2007,Kharif     ,Rice,45000,139000,
Andhra Pradesh,KADAPA,2007,Rabi       ,Rice,17000,45000,
Andhra Pradesh,KADAPA,2008,Kharif     ,Rice,50183,87168,
Andhra Pradesh,KADAPA,2008,Rabi       ,Rice,14883,41271,
Andhra Pradesh,KADAPA,2009,Kharif     ,Rice,52423,153757,
Andhra Pradesh,KADAPA,2009,Rabi       ,Rice,12894,34169,
Andhra Pradesh,KADAPA,2010,Kharif     ,Rice,53345,80657,
Andhra Pradesh,KADAPA,2010,Rabi       ,Rice,17037,48896,
Andhra Pradesh,KADAPA,2011,Kharif     ,Rice,47290,141161,
Andhra Pradesh,KADAPA,2011,Rabi       ,Rice,6606,17499,
Andhra Pradesh,KADAPA,2012,Kharif     ,Rice,24147,61551,
Andhra Pradesh,KADAPA,2012,Rabi       ,Rice,6601,19249,
Andhra Pradesh,KADAPA,2013,Kharif     ,Rice,51753,148842,
Andhra Pradesh,KADAPA,2013,Rabi       ,Rice,10959,29447,
Andhra Pradesh,KADAPA,2014,Kharif     ,Rice,42124,155648,
Andhra Pradesh,KADAPA,2014,Rabi       ,Rice,3761,10189,
Andhra Pradesh,KADAPA,2014,Whole Year ,Rice,45885,165837,
Andhra Pradesh,KRISHNA,1997,Kharif     ,Rice,257900,699400,
Andhra Pradesh,KRISHNA,1997,Rabi       ,Rice,116300,393500,
Andhra Pradesh,KRISHNA,1998,Kharif     ,Rice,280800,759900,
Andhra Pradesh,KRISHNA,1998,Rabi       ,Rice,134500,491200,
Andhra Pradesh,KRISHNA,1999,Kharif     ,Rice,278415,834490,
Andhra Pradesh,KRISHNA,1999,Rabi       ,Rice,127888,457596,
Andhra Pradesh,KRISHNA,2000,Kharif     ,Rice,281343,868787,
Andhra Pradesh,KRISHNA,2000,Rabi       ,Rice,112917,408308,
Andhra Pradesh,KRISHNA,2001,Kharif     ,Rice,245114,714507,
Andhra Pradesh,KRISHNA,2001,Rabi       ,Rice,98472,358635,
Andhra Pradesh,KRISHNA,2002,Kharif     ,Rice,243910,761243,
Andhra Pradesh,KRISHNA,2002,Rabi       ,Rice,2185,5688,
Andhra Pradesh,KRISHNA,2003,Kharif     ,Rice,222367,526565,
Andhra Pradesh,KRISHNA,2003,Rabi       ,Rice,7486,19359,
Andhra Pradesh,KRISHNA,2004,Kharif     ,Rice,245306,804849,
Andhra Pradesh,KRISHNA,2004,Rabi       ,Rice,10017,31584,
Andhra Pradesh,KRISHNA,2005,Kharif     ,Rice,254919,697203,
Andhra Pradesh,KRISHNA,2005,Rabi       ,Rice,104332,409399,
Andhra Pradesh,KRISHNA,2006,Kharif     ,Rice,251433,521221,
Andhra Pradesh,KRISHNA,2006,Rabi       ,Rice,94862,355638,
Andhra Pradesh,KRISHNA,2007,Kharif     ,Rice,261000,944000,
Andhra Pradesh,KRISHNA,2007,Rabi       ,Rice,94000,355000,
Andhra Pradesh,KRISHNA,2008,Kharif     ,Rice,273878,959395,
Andhra Pradesh,KRISHNA,2008,Rabi       ,Rice,120655,467900,
Andhra Pradesh,KRISHNA,2009,Kharif     ,Rice,228196,784310,
Andhra Pradesh,KRISHNA,2009,Rabi       ,Rice,108442,424984,
Andhra Pradesh,KRISHNA,2010,Kharif     ,Rice,260350,722978,
Andhra Pradesh,KRISHNA,2010,Rabi       ,Rice,94991,367710,
Andhra Pradesh,KRISHNA,2011,Kharif     ,Rice,262826,980105,
Andhra Pradesh,KRISHNA,2011,Rabi       ,Rice,9203,31437,
Andhra Pradesh,KRISHNA,2012,Kharif     ,Rice,253166,908360,
Andhra Pradesh,KRISHNA,2012,Rabi       ,Rice,11365,42244,
Andhra Pradesh,KRISHNA,2013,Kharif     ,Rice,264371,773285,
Andhra Pradesh,KRISHNA,2013,Rabi       ,Rice,98951,402236,
Andhra Pradesh,KRISHNA,2014,Kharif     ,Rice,235212,788901,
Andhra Pradesh,KRISHNA,2014,Rabi       ,Rice,52830,209894,
Andhra Pradesh,KRISHNA,2014,Whole Year ,Rice,288042,998795,
Andhra Pradesh,KURNOOL,1997,Kharif     ,Rice,66300,176900,
Andhra Pradesh,KURNOOL,1997,Rabi       ,Rice,9000,23900,
Andhra Pradesh,KURNOOL,1998,Kharif     ,Rice,75100,221700,
Andhra Pradesh,KURNOOL,1998,Rabi       ,Rice,20900,44500,
Andhra Pradesh,KURNOOL,1999,Kharif     ,Rice,81640,225431,
Andhra Pradesh,KURNOOL,1999,Rabi       ,Rice,12430,35695,
Andhra Pradesh,KURNOOL,2000,Kharif     ,Rice,93188,307427,
Andhra Pradesh,KURNOOL,2000,Rabi       ,Rice,13909,38083,
Andhra Pradesh,KURNOOL,2001,Kharif     ,Rice,43617,121779,
Andhra Pradesh,KURNOOL,2001,Rabi       ,Rice,38162,98534,
Andhra Pradesh,KURNOOL,2002,Kharif     ,Rice,47948,100499,
Andhra Pradesh,KURNOOL,2002,Rabi       ,Rice,10974,24856,
Andhra Pradesh,KURNOOL,2003,Kharif     ,Rice,34618,100635,
Andhra Pradesh,KURNOOL,2003,Rabi       ,Rice,4966,11377,
Andhra Pradesh,KURNOOL,2004,Kharif     ,Rice,61465,210702,
Andhra Pradesh,KURNOOL,2004,Rabi       ,Rice,12058,37549,
Andhra Pradesh,KURNOOL,2005,Kharif     ,Rice,88555,292586,
Andhra Pradesh,KURNOOL,2005,Rabi       ,Rice,20079,65980,
Andhra Pradesh,KURNOOL,2006,Kharif     ,Rice,80692,270238,
Andhra Pradesh,KURNOOL,2006,Rabi       ,Rice,12475,36764,
Andhra Pradesh,KURNOOL,2007,Kharif     ,Rice,90000,332000,
Andhra Pradesh,KURNOOL,2007,Rabi       ,Rice,19000,51000,
Andhra Pradesh,KURNOOL,2008,Kharif     ,Rice,84066,279856,
Andhra Pradesh,KURNOOL,2008,Rabi       ,Rice,27383,97073,
Andhra Pradesh,KURNOOL,2009,Kharif     ,Rice,81908,256454,
Andhra Pradesh,KURNOOL,2009,Rabi       ,Rice,44772,157911,
Andhra Pradesh,KURNOOL,2010,Kharif     ,Rice,104110,291475,
Andhra Pradesh,KURNOOL,2010,Rabi       ,Rice,32967,105626,
Andhra Pradesh,KURNOOL,2011,Kharif     ,Rice,91984,333882,
Andhra Pradesh,KURNOOL,2011,Rabi       ,Rice,14738,46042,
Andhra Pradesh,KURNOOL,2012,Kharif     ,Rice,72625,276774,
Andhra Pradesh,KURNOOL,2012,Rabi       ,Rice,16840,60102,
Andhra Pradesh,KURNOOL,2013,Kharif     ,Rice,92596,340383,
Andhra Pradesh,KURNOOL,2013,Rabi       ,Rice,32298,118017,
Andhra Pradesh,KURNOOL,2014,Kharif     ,Rice,91569,361514,
Andhra Pradesh,KURNOOL,2014,Rabi       ,Rice,23329,82748,
Andhra Pradesh,KURNOOL,2014,Whole Year ,Rice,114898,444262,
Andhra Pradesh,PRAKASAM,1997,Kharif     ,Rice,62000,124300,
Andhra Pradesh,PRAKASAM,1997,Rabi       ,Rice,74200,222100,
Andhra Pradesh,PRAKASAM,1998,Kharif     ,Rice,72100,206700,
Andhra Pradesh,PRAKASAM,1998,Rabi       ,Rice,73800,248900,
Andhra Pradesh,PRAKASAM,1999,Kharif     ,Rice,70189,190583,
Andhra Pradesh,PRAKASAM,1999,Rabi       ,Rice,54885,129541,
Andhra Pradesh,PRAKASAM,2000,Kharif     ,Rice,50601,156559,
Andhra Pradesh,PRAKASAM,2000,Rabi       ,Rice,96893,316840,
Andhra Pradesh,PRAKASAM,2001,Kharif     ,Rice,40841,134204,
Andhra Pradesh,PRAKASAM,2001,Rabi       ,Rice,106540,385888,
Andhra Pradesh,PRAKASAM,2002,Kharif     ,Rice,19256,46927,
Andhra Pradesh,PRAKASAM,2002,Rabi       ,Rice,46223,104325,
Andhra Pradesh,PRAKASAM,2003,Kharif     ,Rice,14621,41992,
Andhra Pradesh,PRAKASAM,2003,Rabi       ,Rice,31497,79278,
Andhra Pradesh,PRAKASAM,2004,Kharif     ,Rice,27435,95446,
Andhra Pradesh,PRAKASAM,2004,Rabi       ,Rice,66134,220491,
Andhra Pradesh,PRAKASAM,2005,Kharif     ,Rice,54390,144351,
Andhra Pradesh,PRAKASAM,2005,Rabi       ,Rice,95020,340932,
Andhra Pradesh,PRAKASAM,2006,Kharif     ,Rice,41191,124809,
Andhra Pradesh,PRAKASAM,2006,Rabi       ,Rice,79875,297215,
Andhra Pradesh,PRAKASAM,2007,Kharif     ,Rice,47000,173000,
Andhra Pradesh,PRAKASAM,2007,Rabi       ,Rice,80000,287000,
Andhra Pradesh,PRAKASAM,2008,Kharif     ,Rice,47434,167774,
Andhra Pradesh,PRAKASAM,2008,Rabi       ,Rice,83957,314503,
Andhra Pradesh,PRAKASAM,2009,Kharif     ,Rice,32959,117730,
Andhra Pradesh,PRAKASAM,2009,Rabi       ,Rice,96240,371390,
Andhra Pradesh,PRAKASAM,2010,Kharif     ,Rice,48878,143300,
Andhra Pradesh,PRAKASAM,2010,Rabi       ,Rice,107903,376150,
Andhra Pradesh,PRAKASAM,2011,Kharif     ,Rice,39122,134932,
Andhra Pradesh,PRAKASAM,2011,Rabi       ,Rice,79396,292098,
Andhra Pradesh,PRAKASAM,2012,Kharif     ,Rice,17820,64027,
Andhra Pradesh,PRAKASAM,2012,Rabi       ,Rice,33942,125959,
Andhra Pradesh,PRAKASAM,2013,Kharif     ,Rice,58034,213391,
Andhra Pradesh,PRAKASAM,2013,Rabi       ,Rice,80544,318874,
Andhra Pradesh,PRAKASAM,2014,Kharif     ,Rice,31764,121783,
Andhra Pradesh,PRAKASAM,2014,Rabi       ,Rice,73533,284132,
Andhra Pradesh,PRAKASAM,2014,Whole Year ,Rice,105297,405915,
Andhra Pradesh,SPSR NELLORE,1997,Kharif     ,Rice,48700,127600,
Andhra Pradesh,SPSR NELLORE,1997,Rabi       ,Rice,182100,544600,
Andhra Pradesh,SPSR NELLORE,1998,Kharif     ,Rice,44700,133400,
Andhra Pradesh,SPSR NELLORE,1998,Rabi       ,Rice,183300,542300,
Andhra Pradesh,SPSR NELLORE,1999,Kharif     ,Rice,45768,136695,
Andhra Pradesh,SPSR NELLORE,1999,Rabi       ,Rice,152441,407231,
Andhra Pradesh,SPSR NELLORE,2000,Kharif     ,Rice,55041,171563,
Andhra Pradesh,SPSR NELLORE,2000,Rabi       ,Rice,132867,367510,
Andhra Pradesh,SPSR NELLORE,2001,Kharif     ,Rice,34297,108413,
Andhra Pradesh,SPSR NELLORE,2001,Rabi       ,Rice,176106,597352,
Andhra Pradesh,SPSR NELLORE,2002,Kharif     ,Rice,45511,149276,
Andhra Pradesh,SPSR NELLORE,2002,Rabi       ,Rice,173384,522579,
Andhra Pradesh,SPSR NELLORE,2003,Kharif     ,Rice,17885,49756,
Andhra Pradesh,SPSR NELLORE,2003,Rabi       ,Rice,137031,364368,
Andhra Pradesh,SPSR NELLORE,2004,Kharif     ,Rice,19326,56432,
Andhra Pradesh,SPSR NELLORE,2004,Rabi       ,Rice,167421,576933,
Andhra Pradesh,SPSR NELLORE,2005,Kharif     ,Rice,18036,55190,
Andhra Pradesh,SPSR NELLORE,2005,Rabi       ,Rice,189671,713732,
Andhra Pradesh,SPSR NELLORE,2006,Kharif     ,Rice,60057,197167,
Andhra Pradesh,SPSR NELLORE,2006,Rabi       ,Rice,181863,659617,
Andhra Pradesh,SPSR NELLORE,2007,Kharif     ,Rice,46000,162000,
Andhra Pradesh,SPSR NELLORE,2007,Rabi       ,Rice,188000,695000,
Andhra Pradesh,SPSR NELLORE,2008,Kharif     ,Rice,65233,233795,
Andhra Pradesh,SPSR NELLORE,2008,Rabi       ,Rice,191854,763003,
Andhra Pradesh,SPSR NELLORE,2009,Kharif     ,Rice,67894,220248,
Andhra Pradesh,SPSR NELLORE,2009,Rabi       ,Rice,198993,783833,
Andhra Pradesh,SPSR NELLORE,2010,Kharif     ,Rice,69873,228485,
Andhra Pradesh,SPSR NELLORE,2010,Rabi       ,Rice,200990,777027,
Andhra Pradesh,SPSR NELLORE,2011,Kharif     ,Rice,53137,195269,
Andhra Pradesh,SPSR NELLORE,2011,Rabi       ,Rice,201435,836157,
Andhra Pradesh,SPSR NELLORE,2012,Kharif     ,Rice,53866,214710,
Andhra Pradesh,SPSR NELLORE,2012,Rabi       ,Rice,197403,811721,
Andhra Pradesh,SPSR NELLORE,2013,Kharif     ,Rice,32241,115455,
Andhra Pradesh,SPSR NELLORE,2013,Rabi       ,Rice,192652,795653,
Andhra Pradesh,SPSR NELLORE,2014,Kharif     ,Rice,62232,232561,
Andhra Pradesh,SPSR NELLORE,2014,Rabi       ,Rice,178491,736454,
Andhra Pradesh,SPSR NELLORE,2014,Whole Year ,Rice,240723,969015,
Andhra Pradesh,SRIKAKULAM,1997,Kharif     ,Rice,185700,278500,
Andhra Pradesh,SRIKAKULAM,1997,Rabi       ,Rice,600,2100,
Andhra Pradesh,SRIKAKULAM,1998,Kharif     ,Rice,194400,370700,
